cluster,unref,deep,orga,blocks,procrastination,perfectionism,innateability,ktransforming,productivity,no,gender,faculty,studentstatus,studylength,writingcourse,monthsamel
1,1,4.5,4,1.66666666666667,3.25,2,1,4,1.5,149,2,6,4,5,0, 
1,1,4,3.66666666666667,2,1.75,3.33333333333333,1,4.66666666666667,3.5,150,2,4,4,5,0,2
2,1,4.75,2.66666666666667,4.33333333333333,4.75,3.66666666666667,3,3.33333333333333,1,151,2,4,3,5,0,84
2,2,4.5,3,4.66666666666667,3.25,4.66666666666667,1,4.33333333333333,2.75,152,2,4,3,5,0,0
3,3,3,2.66666666666667,3.33333333333333,2.75,3,2,3,2.5,153,2,2,1,5,0,0
3,3.66666666666667,3.5,2,3.33333333333333,4.25,2.66666666666667,2,4,2,154,2,3,1,5,3,156
2,1,3.5,3,1.66666666666667,3,1.66666666666667,1,4.66666666666667,2,155,1,1,3,5,2,0
1,2.66666666666667,4.5,4,1.33333333333333,1.75,2.66666666666667,2.5,5,3.75,156,2,3,1,4,6,2
2,2.33333333333333,4.25,3,3.33333333333333,3.5,3,3,3.66666666666667,1.25,157,2,9,1,5,7,3
2,2,4.25,3.33333333333333,4.66666666666667,4.75,4.66666666666667,5,3.33333333333333,1.5,158,2,9,3,5,1,28
2,1.66666666666667,4.25,3,2.66666666666667,5,4,3,4.33333333333333,1.25,159,1,9,3,17,3,5
2,2,4,2.66666666666667,2.33333333333333,3.5,3,2,3.33333333333333,2.5,160,2,9,3,5,4,3
1,1.33333333333333,3.5,4,3,3,4,1,4,3,161,2,3,3,5,10, 
2,2,3.5,2.66666666666667,3.66666666666667,4.75,3,2,3,2,162,1,5,3,5,3,0
2,2,4,2.66666666666667,4,4.25,3.33333333333333,3.5,3.66666666666667,2,163,2,1,3,53,9,52
2,1.66666666666667,4.25,3.33333333333333,2.33333333333333,2.5,2,1,3.33333333333333,2,164,2,8,1,5,3,0
 , ,3.75,3.66666666666667,2.66666666666667,3.5,2.66666666666667,2,3.66666666666667,2,165,1,8,1,5,28,53
3,2.66666666666667,2.5,2.66666666666667, ,2.75,2,1, , ,166,2,8,3,5,0,6
2,2,3.25,2.33333333333333,2.66666666666667,3,2.33333333333333,1.5,3.33333333333333,2.5,167,2,9,4,9,13,115
1,2.33333333333333,4,4,3,3,2.33333333333333,2,4,2.5,168,2,9,4,11,0,156
2,3,4,3,2.66666666666667,3.5,3,2,3.33333333333333,2.25,169,2,9,4,10,0,68
3,3,3.75,3.33333333333333,3,4,2,1,4,2.25,170,2,9,4,70,1,24
3,3.33333333333333,3.25,3.33333333333333,4.33333333333333,3.5,4,2.5,3.33333333333333,2,171,2,9,4,9,0, 
1,2.66666666666667,4.75,5,3.33333333333333,4.25,2.66666666666667,1,5,3,172,2,9,4,9,0,48
3,3.66666666666667,3.5,3,3.33333333333333,3.5,3.66666666666667,3,4.33333333333333, ,173,2,9,4,9,0, 
2,2,4.25,2.66666666666667,2,2.5,2.33333333333333,1,4.66666666666667,3.75,174,2,8,3,5,0,0
1,1,4.5,5,3,2,1,1,5,3.5,175,2,4,3,33,1,48
1,2.33333333333333,3.75,4,2.33333333333333,2.5,4,2,3.66666666666667,2.75,176,2,4,1,9,0,0
1,1.66666666666667,4.5,4.33333333333333,1.66666666666667,3,2.66666666666667,2,4.66666666666667,3.75,177,2,4,3,17,4,9
1,1.33333333333333,5,5,1,1,1,2,5,3,178,1,2,4,9,2,24
3,2.66666666666667,3.5,2.66666666666667,2.66666666666667,3.25,3.66666666666667,3.5,4.66666666666667,1.25,179,1,1,4,9,4,1
2,2.66666666666667,4.25,1.33333333333333,2,1.75,4,1,4.33333333333333,1,180,1,8,2,22,24,122
1,1.33333333333333,4.25,4.33333333333333,1.33333333333333,3.5,1.66666666666667,1,4,2.25,181,2,8,4,9,42,2
2,2,3.5,3.33333333333333,1.66666666666667,1.75,2.33333333333333,2,4.33333333333333,3,182,1,8,2,21,1,0
1,1,4.75,4.33333333333333,2.33333333333333,3,2.33333333333333,1,5,1.25,183,2,99,2,22,0,50
